Unnamed: 0,Code,Name,Gender,Age,NOC,Country,Discipline,Sport,Event,Rank,Medal
14,1350409,ABALO Luc,Male,36,FRA,France,HBL,Handball,Men Team,1.0,Gold
22,1310126,ABBOTT Monica,Female,36,USA,United States,BSB,Baseball/Softball,Softball Team,2.0,Silver
32,1306348,ABDELAZIZ Feryal,Female,22,EGY,Egypt,KTE,Karate,Women's Kumite +61kg,1.0,Gold
39,1401953,ABDI Bashir,Male,32,BEL,Belgium,ATH,Athletics,Men's Marathon,3.0,Bronze
52,1321507,ABDULLAH Rahmat Erwin,Male,20,INA,Indonesia,WLF,Weightlifting,Men's 73kg,3.0,Bronze
65,1285952,ABDURAKHMONOV Bekzod,Male,31,UZB,Uzbekistan,WRE,Wrestling,Men's Freestyle 74kg,3.0,Bronze
66,1315347,ABE Hifumi,Male,23,JPN,Japan,JUD,Judo,Men -66 kg,1.0,Gold
67,1315347,ABE Hifumi,Male,23,JPN,Japan,JUD,Judo,Mixed Team,2.0,Silver
69,1315319,ABE Uta,Female,21,JPN,Japan,JUD,Judo,Women -52 kg,1.0,Gold
70,1315319,ABE Uta,Female,21,JPN,Japan,JUD,Judo,Mixed Team,2.0,Silver
75,1469699,ABEL Jennifer,Female,29,CAN,Canada,DIV,Diving,Women's Synchronised 3m Springboard Team,2.0,Silver
87,1406250,ABLIAZIN Denis,Male,29,ROC,Russia,GAR,Artistic Gymnastics,Men's Vault,2.0,Silver
90,1406250,ABLIAZIN Denis,Male,29,ROC,Russia,GAR,Artistic Gymnastics,Men's Team,1.0,Gold
91,1351464,ABNER,Male,21,BRA,Brazil,FBL,Football,Men Team,1.0,Gold
139,1469883,ADAMS Valerie,Female,36,NZL,New Zealand,ATH,Athletics,Women's Shot Put,3.0,Bronze
141,1382524,ADAR Yasemin,Female,29,TUR,Turkey,WRE,Wrestling,Women's Freestyle 76kg,3.0,Bronze
142,1312780,ADEBAYO Bam,Male,24,USA,United States,BKB,Basketball,Men Team,1.0,Gold
165,1476195,AGARD Terrence,Male,31,NED,Netherlands,ATH,Athletics,Men's 4 x 400m Relay Team,2.0,Silver
167,1313716,AGATSUMA Haruka,Female,26,JPN,Japan,BSB,Baseball/Softball,Softball Team,1.0,Gold
168,1403697,AGBEGNENOU Clarisse,Female,28,FRA,France,JUD,Judo,Women -63 kg,1.0,Gold
169,1403697,AGBEGNENOU Clarisse,Female,28,FRA,France,JUD,Judo,Mixed Team,1.0,Gold
176,1439675,AGHAYEV Rafael,Male,36,AZE,Azerbaijan,KTE,Karate,Men's Kumite -75kg,2.0,Silver
182,1338146,AGUIAR Mayra,Female,30,BRA,Brazil,JUD,Judo,Women -78 kg,3.0,Bronze
184,1309993,AGUILAR Ali,Female,25,USA,United States,BSB,Baseball/Softball,Softball Team,2.0,Silver
187,1314322,AGUINAGALDE AQUIZU Julen,Male,38,ESP,Spain,HBL,Handball,Men Team,3.0,Bronze
188,1300068,AGUIRRE Eduardo,Male,23,MEX,Mexico,FBL,Football,Men Team,3.0,Bronze
189,1300069,AGUIRRE Erick,Male,24,MEX,Mexico,FBL,Football,Men Team,3.0,Bronze
192,1300377,AGUNDEZ GARCIA Gabriela,Female,21,MEX,Mexico,DIV,Diving,Women's Synchronised 10m Platform Team,3.0,Bronze
200,1432365,AHMED Mohammed,Male,30,CAN,Canada,ATH,Athletics,Men's 5000m,2.0,Silver
214,1333386,AIGNER Hannes,Male,32,GER,Germany,CSL,Canoe Slalom,Men's Kayak,3.0,Bronze
219,1320668,AISAH Windy Cantika,Female,19,INA,Indonesia,WLF,Weightlifting,Women's 49kg,3.0,Bronze
225,1432366,AJOMALE Bolade,Male,25,CAN,Canada,ATH,Athletics,Men's 4 x 100m Relay Team,3.0,Bronze
226,1313636,AKAHO Himawari,Female,22,JPN,Japan,BKB,Basketball,Women Team,2.0,Silver
227,1382412,AKGUL Taha,Male,30,TUR,Turkey,WRE,Wrestling,Men's Freestyle 125kg,3.0,Bronze
235,1406265,AKHAIMOVA Liliia,Female,24,ROC,Russia,GAR,Artistic Gymnastics,Women's Team,1.0,Gold
240,1298721,AKINRADEWO Foluke,Female,33,USA,United States,VVO,Volleyball,Women Team,1.0,Gold
247,1325285,AKTAS Ugur,Male,25,TUR,Turkey,KTE,Karate,Men's Kumite +75kg,3.0,Bronze
270,1302052,ALBA CASTILLO Rafael Yunier,Male,27,CUB,Cuba,TKW,Taekwondo,Men +80kg,3.0,Bronze
275,1467332,ALBERS Felice,Female,21,NED,Netherlands,HOC,Hockey,Women Team,1.0,Gold
276,1361689,ALBERTARRIO Agustina,Female,28,ARG,Argentina,HOC,Hockey,Women Team,2.0,Silver
277,1337826,ALBICY Andrew,Male,31,FRA,France,BKB,Basketball,Men Team,2.0,Silver
290,1280236,ALEKSANYAN Artur,Male,29,ARM,Armenia,WRE,Wrestling,Men's Greco-Roman 97kg,2.0,Silver
291,1344655,ALEKSIC Maja,Female,24,SRB,Serbia,VVO,Volleyball,Women Team,3.0,Bronze
292,1344167,ALEKSIC Milan,Male,35,SRB,Serbia,WPO,Water Polo,Men Team,1.0,Gold
293,1449831,ALEKSIIVA Maryna,Female,20,UKR,Ukraine,SWA,Artistic Swimming,Team,3.0,Bronze
294,1449830,ALEKSIIVA Vladyslava,Female,20,UKR,Ukraine,SWA,Artistic Swimming,Team,3.0,Bronze
305,1436390,ALFONSO DOMINGUEZ Loren Berto,Male,26,AZE,Azerbaijan,BOX,Boxing,Men's Light Heavy (75-81kg),3.0,Bronze
333,1437010,ALIYEV Haji,Male,30,AZE,Azerbaijan,WRE,Wrestling,Men's Freestyle 65kg,2.0,Silver
350,1888994,ALLEN Nick,Male,22,USA,United States,BSB,Baseball/Softball,Baseball Team,2.0,Silver
353,1459019,ALLMAN Valarie,Female,26,USA,United States,ATH,Athletics,Women's Discus Throw,1.0,Gold
359,1406770,ALMASATFA Abdel Rahman,Male,25,JOR,Jordan,KTE,Karate,Men's Kumite -67kg,3.0,Bronze
370,1361688,ALONSO Agostina,Female,25,ARG,Argentina,HOC,Hockey,Women Team,2.0,Silver
378,1895506,ALRASHIDI Abdullah,Male,57,KUW,Kuwait,SHO,Shooting,Skeet Men,3.0,Bronze
401,1300227,ALVARADO Roberto,Male,22,MEX,Mexico,FBL,Football,Men Team,3.0,Bronze
404,1443717,ALVAREZ Dario,Male,32,DOM,Dominican Republic,BSB,Baseball/Softball,Baseball Team,3.0,Bronze
405,1460131,ALVAREZ Eddy,Male,31,USA,United States,BSB,Baseball/Softball,Baseball Team,2.0,Silver
408,1306602,ALVAREZ Lazaro,Male,30,CUB,Cuba,BOX,Boxing,Men's Feather (52-57kg),3.0,Bronze
410,1294470,ALVAREZ Luis,Male,30,MEX,Mexico,ARC,Archery,Mixed Team,3.0,Bronze
413,1362706,ALVAREZ Santiago,Male,27,ARG,Argentina,RUG,Rugby Sevens,Men Team,3.0,Bronze
414,1351502,ALVES Dani,Male,38,BRA,Brazil,FBL,Football,Men Team,1.0,Gold
445,1291735,AMINE Myles Nazem,Male,24,SMR,San Marino,WRE,Wrestling,Men's Freestyle 86kg,3.0,Bronze
461,1323211,AN Baul,Male,27,KOR,South Korea,JUD,Judo,Men -66 kg,3.0,Bronze
464,1323212,AN Changrim,Male,27,KOR,South Korea,JUD,Judo,Men -73 kg,3.0,Bronze
468,1338248,AN San,Female,20,KOR,South Korea,ARC,Archery,Women's Individual,1.0,Gold
469,1338248,AN San,Female,20,KOR,South Korea,ARC,Archery,Women's Team,1.0,Gold
470,1338248,AN San,Female,20,KOR,South Korea,ARC,Archery,Mixed Team,1.0,Gold
492,1444160,ANDERSON Freya,Female,20,GBR,Great Britain,SWM,Swimming,Mixed 4 x 100m Medley Relay Team,1.0,Gold
498,1449687,ANDERSSON Jonna,Female,28,SWE,Sweden,FBL,Football,Women Team,2.0,Silver
499,1367051,ANDERSSON Lasse,Male,27,DEN,Denmark,HBL,Handball,Men Team,2.0,Silver
505,1316447,ANDOH Mikiko,Female,28,JPN,Japan,WLF,Weightlifting,Women's 59kg,3.0,Bronze
507,1335261,ANDRADE Rebeca,Female,22,BRA,Brazil,GAR,Artistic Gymnastics,Women's All-Around,2.0,Silver
508,1335261,ANDRADE Rebeca,Female,22,BRA,Brazil,GAR,Artistic Gymnastics,Women's Vault,1.0,Gold
519,1324437,ANDREJCZYK Maria,Female,25,POL,Poland,ATH,Athletics,Women's Javelin Throw,2.0,Silver
528,1302312,ANDREW Michael,Male,22,USA,United States,SWM,Swimming,Men's 4 x 100m Medley Relay Team,1.0,Gold
531,1470165,ANDREWS Ellesse,Female,21,NZL,New Zealand,CTR,Cycling Track,Women's Keirin,2.0,Silver
535,1325545,ANDRODIAS Matthieu,Male,31,FRA,France,ROW,Rowing,Men's Double Sculls Team,1.0,Gold
543,1476197,ANGELA Ramsey,Male,21,NED,Netherlands,ATH,Athletics,Men's 4 x 400m Relay Team,2.0,Silver
545,1449676,ANGELDAL Filippa,Female,24,SWE,Sweden,FBL,Football,Women Team,2.0,Silver
549,1300344,ANGULO Jesus,Male,23,MEX,Mexico,FBL,Football,Men Team,3.0,Bronze
550,1452249,ANGULO Ricardo,Male,24,MEX,Mexico,FBL,Football,Men Team,3.0,Bronze
552,1364563,ANGYAL Daniel,Male,29,HUN,Hungary,WPO,Water Polo,Men Team,3.0,Bronze
565,1444574,ANSLEY Giselle,Female,29,GBR,Great Britain,HOC,Hockey,Women Team,3.0,Bronze
566,1348938,ANTILL Caleb,Male,26,AUS,Australia,ROW,Rowing,Men's Quadruple Sculls Team,3.0,Bronze
575,1436551,ANTONOVA Nataliia,Female,26,ROC,Russia,CTR,Cycling Track,Women's Team Sprint Team,3.0,Bronze
577,1351463,ANTONY,Male,21,BRA,Brazil,FBL,Football,Men Team,1.0,Gold
580,1300351,ANTUNA Uriel,Male,23,MEX,Mexico,FBL,Football,Men Team,3.0,Bronze
582,1449656,ANVEGARD Anna,Female,24,SWE,Sweden,FBL,Football,Women Team,2.0,Silver
593,1446735,AOYAGI Koyo,Male,27,JPN,Japan,BSB,Baseball/Softball,Baseball Team,1.0,Gold
606,1302461,APPLE Zach,Male,24,USA,United States,SWM,Swimming,Men's 4 x 100m Freestyle Relay Team,1.0,Gold
608,1302461,APPLE Zach,Male,24,USA,United States,SWM,Swimming,Men's 4 x 100m Medley Relay Team,1.0,Gold
617,1315375,ARAGA Ryutaro,Male,30,JPN,Japan,KTE,Karate,Men's Kumite +75kg,3.0,Bronze
619,1315327,ARAI Chizuru,Female,27,JPN,Japan,JUD,Judo,Women -70 kg,1.0,Gold
620,1315327,ARAI Chizuru,Female,27,JPN,Japan,JUD,Judo,Mixed Team,2.0,Silver
628,1351537,ARANA Guilherme,Male,24,BRA,Brazil,FBL,Football,Men Team,1.0,Gold
641,1474926,ARCHIBALD Katie,Female,27,GBR,Great Britain,CTR,Cycling Track,Women's Team Pursuit Team,2.0,Silver
643,1474926,ARCHIBALD Katie,Female,27,GBR,Great Britain,CTR,Cycling Track,Women's Madison Team,1.0,Gold
650,1410821,ARENAS Sandra Lorena,Female,27,COL,Colombia,ATH,Athletics,Women's 20km Race Walk,2.0,Silver
655,1358213,AREVALO Carlos,Male,27,ESP,Spain,CSP,Canoe Sprint,Men's Kayak Four 500m Team,2.0,Silver
659,1466624,ARGYROPOULOS KANAKAKIS Stylianos,Male,25,GRE,Greece,WPO,Water Polo,Men Team,2.0,Silver
661,1443720,ARIAS Gabriel,Male,31,DOM,Dominican Republic,BSB,Baseball/Softball,Baseball Team,3.0,Bronze
664,1327455,ARICAN Ferhat,Male,28,TUR,Turkey,GAR,Artistic Gymnastics,Men's Parallel Bars,3.0,Bronze
668,1310107,ARIOTO Valerie,Female,32,USA,United States,BSB,Baseball/Softball,Softball Team,2.0,Silver
677,1861918,ARMSTRONG Joseph,Male,20,USA,United States,SWM,Swimming,Men's 4 x 100m Medley Relay Team,1.0,Gold
